id,date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_lot,sqft_above,sqft_basement
7129300520,20141013T000000,221900,3,1,1180,1,0,0,3,7,1955,0,98178,47.5112,-122.257,1340,5650,5650,1180,0
6414100192,20141209T000000,538000,3,2.25,2570,2,0,0,3,7,1951,1991,98125,47.721,-122.319,1690,7639,7242,2170,400
5631500400,20150225T000000,180000,2,1,770,1,0,0,3,6,1933,0,98028,47.7379,-122.233,2720,8062,10000,770,0
2487200875,20141209T000000,604000,4,3,1960,1,0,0,5,7,1965,0,98136,47.5208,-122.393,1360,5000,5000,1050,910
1954400510,20150218T000000,510000,3,2,1680,1,0,0,3,8,1987,0,98074,47.6168,-122.045,1800,7503,8080,1680,0
7237550310,20140512T000000,1.23E+06,4,4.5,5420,1,0,0,3,11,2001,0,98053,47.6561,-122.005,4760,101930,101930,3890,1530
1321400060,20140627T000000,257500,3,2.25,1715,2,0,0,3,7,1995,0,98003,47.3097,-122.327,2238,6819,6819,1715,0
2008000270,20150115T000000,291850,3,1.5,1060,1,0,0,3,7,1963,0,98198,47.4095,-122.315,1650,9711,9711,1060,0
2414600126,20150415T000000,229500,3,1,1780,1,0,0,3,7,1960,0,98146,47.5123,-122.337,1780,8113,7470,1050,730
3793500160,20150312T000000,323000,3,2.5,1890,2,0,0,3,7,2003,0,98038,47.3684,-122.031,2390,7570,6560,1890,0
1736800520,20150403T000000,662500,3,2.5,3560,1,0,0,3,8,1965,0,98007,47.6007,-122.145,2210,8925,9796,1860,1700
9212900260,20140527T000000,468000,2,1,1160,1,0,0,4,7,1942,0,98115,47.69,-122.292,1330,6000,6000,860,300
114101516,20140528T000000,310000,3,1,1430,1.5,0,0,4,7,1927,0,98028,47.7558,-122.229,1780,12697,19901,1430,0
6054650070,20141007T000000,400000,3,1.75,1370,1,0,0,4,7,1977,0,98074,47.6127,-122.045,1370,10208,9680,1370,0
1175000570,20150312T000000,530000,5,2,1810,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,1360,4850,4850,1810,0
9297300055,20150124T000000,650000,4,3,2950,2,0,3,3,9,1979,0,98126,47.5714,-122.375,2140,4000,5000,1980,970
1875500060,20140731T000000,395000,3,2,1890,2,0,0,3,7,1994,0,98019,47.7277,-121.962,1890,14018,14040,1890,0
6865200140,20140529T000000,485000,4,1,1600,1.5,0,0,4,7,1916,0,98103,47.6648,-122.343,1610,4300,4300,1600,0
16000397,20141205T000000,189000,2,1,1200,1,0,0,4,7,1921,0,98002,47.3089,-122.21,1060,5095,9850,1200,0
7983200060,20150424T000000,230000,3,1,1250,1,0,0,4,7,1969,0,98003,47.3343,-122.306,1280,8850,9774,1250,0
6300500875,20140514T000000,385000,4,1.75,1620,1,0,0,4,7,1947,0,98133,47.7025,-122.341,1400,4980,4980,860,760
2524049179,20140826T000000,2.00E+06,3,2.75,3050,1,0,4,3,9,1968,0,98040,47.5316,-122.233,4110,20336,44867,2330,720
7137970340,20140703T000000,285000,5,2.5,2270,2,0,0,3,8,1995,0,98092,47.3266,-122.169,2240,7005,6300,2270,0
8091400200,20140516T000000,252700,2,1.5,1070,1,0,0,3,7,1985,0,98030,47.3533,-122.166,1220,8386,9643,1070,0
3814700200,20141120T000000,329000,3,2.25,2450,2,0,0,4,8,1985,0,98030,47.3739,-122.172,2200,6865,6500,2450,0
1202000200,20141103T000000,233000,3,2,1710,1.5,0,0,5,6,1941,0,98002,47.3048,-122.218,1030,4705,4697,1710,0
1794500383,20140626T000000,937000,3,1.75,2450,2,0,0,3,8,1915,0,98119,47.6386,-122.36,1760,3573,2691,1750,700
3303700376,20141201T000000,667000,3,1,1400,1.5,0,0,5,8,1909,0,98112,47.6221,-122.314,1860,3861,1581,1400,0
5101402488,20140624T000000,438000,3,1.75,1520,1,0,0,3,7,1948,0,98115,47.695,-122.304,1520,6235,6380,790,730
1873100390,20150302T000000,719000,4,2.5,2570,2,0,0,3,8,2005,0,98052,47.7073,-122.11,2630,6026,7173,2570,0
8562750320,20141110T000000,580500,3,2.5,2320,2,0,0,3,8,2003,0,98027,47.5391,-122.07,2580,3980,3980,2320,0
2426039314,20141201T000000,280000,2,1.5,1190,3,0,0,3,7,2005,0,98133,47.7274,-122.357,1390,1756,1265,1190,0
461000390,20140624T000000,687500,4,1.75,2330,1.5,0,0,4,7,1929,0,98117,47.6823,-122.368,1460,5000,5000,1510,820
7589200193,20141110T000000,535000,3,1,1090,1.5,0,0,4,8,1929,0,98117,47.6889,-122.375,1570,5080,3000,1090,0
7955080270,20141203T000000,322500,4,2.75,2060,1,0,0,3,7,1981,0,98058,47.4276,-122.157,2020,8720,6659,1280,780
9547205180,20140613T000000,696000,3,2.5,2300,1.5,0,0,3,8,1930,2002,98115,47.6827,-122.31,1590,3264,3060,1510,790
9435300030,20140528T000000,550000,4,1,1660,1,0,0,1,5,1933,0,98052,47.6621,-122.132,2160,11467,34848,930,730
2768000400,20141230T000000,640000,4,2,2360,2,0,0,4,8,1904,0,98107,47.6702,-122.362,1730,4700,6000,2360,0
7895500070,20150213T000000,240000,4,1,1220,1,0,0,2,7,1969,0,98001,47.3341,-122.282,1290,7800,8075,890,330
2078500320,20140620T000000,605000,4,2.5,2620,2,0,0,3,8,1996,0,98056,47.5301,-122.18,2620,11884,7553,2620,0
5547700270,20140715T000000,625000,4,2.5,2570,2,0,0,3,9,2000,0,98074,47.6145,-122.027,2470,5669,5520,2570,0
7766200013,20140811T000000,775000,4,2.25,4220,1,0,0,3,8,1984,0,98166,47.445,-122.347,2410,30617,24186,2600,1620
7203220400,20140707T000000,861990,5,2.75,3595,2,0,0,3,9,2014,0,98053,47.6848,-122.016,3625,5639,5639,3595,0
9270200160,20141028T000000,685000,3,1,1570,2,0,0,3,7,1922,0,98119,47.6413,-122.364,1580,2640,2280,1570,0
1432701230,20140729T000000,309000,3,1,1280,1,0,0,4,6,1959,0,98058,47.4485,-122.175,1340,8808,9656,920,360
8035350320,20140718T000000,488000,3,2.5,3160,2,0,0,3,8,2003,0,98019,47.7443,-121.977,3050,9232,13603,3160,0
8945200830,20150325T000000,210490,3,1,990,1,0,0,3,6,1966,0,98023,47.3066,-122.371,1228,8840,8528,990,0
4178300310,20140716T000000,785000,4,2.5,2290,2,0,0,4,9,1981,0,98007,47.6194,-122.151,2680,13685,13416,2290,0
9215400105,20150428T000000,450000,3,1.75,1250,1,0,0,4,7,1953,0,98115,47.6796,-122.301,970,5100,5963,1250,0
822039084,20150311T000000,1.35E+06,3,2.5,2753,1,1,2,5,9,1953,0,98070,47.4041,-122.451,2680,72513,65005,2165,588
5245600105,20140916T000000,228000,3,1,1190,1,0,0,3,7,1955,0,98148,47.4258,-122.322,1190,9364,9199,1190,0
7231300125,20150217T000000,345000,5,2.5,3150,1,0,0,4,8,1966,0,98056,47.4934,-122.189,1990,9133,9134,1640,1510
7518505990,20141231T000000,600000,3,1.75,1410,1,0,0,4,7,1950,0,98117,47.6808,-122.384,1410,4080,4080,1000,410
3626039271,20150205T000000,585000,2,1.75,1980,1,0,0,3,7,1981,0,98117,47.6989,-122.369,1480,6738,8550,990,990
4217401195,20150303T000000,920000,5,2.25,2730,1.5,0,0,3,8,1927,0,98105,47.6571,-122.281,2730,6000,6000,2130,600
9822700295,20140512T000000,885000,4,2.5,2830,2,0,0,3,9,1995,0,98105,47.6597,-122.29,1950,5000,5000,2830,0
9478500640,20140819T000000,292500,4,2.5,2250,2,0,0,3,7,2008,0,98042,47.3663,-122.114,2250,4500,4495,2250,0
2799800710,20150407T000000,301000,3,2.5,2420,2,0,0,3,8,2003,0,98042,47.3663,-122.122,2690,4750,4750,2420,0
7922800400,20140827T000000,951000,5,3.25,3250,2,0,4,4,8,1968,0,98008,47.588,-122.116,2960,11044,14342,3250,0
8079040320,20150223T000000,430000,4,3,1850,2,0,0,3,8,1991,0,98059,47.5059,-122.149,2270,8542,9976,1850,0
